@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureOutOfBagError numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5017,4983,0,50.17,49.83,0,0,0.499995,0.499997,100,100,9999.91684,9999.91684,0,0.999992,0.999992,0,0,0,0,1,5017,1,4983,0,0,0,0,0.5017,1,0.668176,0,0.5,0.5017,0.5017,0.5017,0.4983,0.4983,0.251703,0.5017,0.335224,0,0.5,0.500006,0.334088,0.5017,0.029,0.005,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.016,0,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.026,0.004,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.016,0.016,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.04,0.004,0.046875,0,46.875,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.015,0,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.008,0.016,0,0.015625,0,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.023,0.005,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.014,0,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5017,4983,0,50.17,49.83,0,0,0.499995,0.499997,100,100,9999.91684,9999.91684,0,0.999992,0.999992,0,0,0,0,1,5017,1,4983,0,0,0,0,0.5017,1,0.668176,0,0.5,0.5017,0.5017,0.5017,0.4983,0.4983,0.251703,0.5017,0.335224,0,0.5,0.500006,0.334088,0.5017,0.032,0.006,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
